a,b,hypotenuse
1,1,1.4142135623730951
1,2,2.23606797749979
1,3,3.1622776601683795
1,4,4.123105625617661
1,5,5.0990195135927845
1,6,6.082762530298219
1,7,7.0710678118654755
1,8,8.06225774829855
1,9,9.055385138137417
1,10,10.04987562112089
1,11,11.045361017187261
1,12,12.041594578792296
1,13,13.038404810405298
1,14,14.035668847618199
1,15,15.033296378372908
1,16,16.0312195418814
1,17,17.029386365926403
1,18,18.027756377319946
1,19,19.026297590440446
1,20,20.024984394500787
1,21,21.02379604162864
1,22,22.02271554554524
1,23,23.021728866442675
1,24,24.020824298928627
1,25,25.019992006393608
1,26,26.019223662515376
1,27,27.018512172212592
1,28,28.0178514522438
1,29,29.017236257093817
1,30,30.01666203960727
1,31,31.016124838541646
1,32,32.01562118716424
1,33,33.015148038438355
1,34,34.0147027033899
1,35,35.014282800023196
1,36,36.013886210738214
1,37,37.013511046643494
1,38,38.01315561749642
1,39,39.01281840626232
1,40,40.01249804748511
1,41,41.012193308819754
1,42,42.01190307520001
1,43,43.01162633521314
1,44,44.01136216933077
1,45,45.0111097397076
1,46,46.010868281309364
1,47,47.01063709417264
1,48,48.010415536631214
1,49,49.01020301937138
1,50,50.00999900019995
1,51,51.0098029794274
1,52,52.009614495783374
1,53,53.009433122794285
1,54,54.00925846556311
1,55,55.00909015790027
1,56,56.00892785976178
1,57,57.0087712549569
1,58,58.008620049092706
1,59,59.00847396772772
1,60,60.00833275470999
1,61,61.00819617067857
1,62,62.00806399170998
1,63,63.00793600809346
1,64,64.00781202322104
1,65,65.00769185258002
1,66,66.007575322837
1,67,67.00746227100382
1,68,68.00735254367721
1,69,69.00724599634447
1,70,70.00714249274856
1,71,71.00704190430693
1,72,72.00694410957877
1,73,73.00684899377592
1,74,74.00675644831355
1,75,75.0066663703967
1,76,76.00657866263946
1,77,77.00649323271382
1,78,78.00640999302557
1,79,79.00632886041473
1,80,80.00624975587844
1,81,81.00617260431454
1,82,82.00609733428362
1,83,83.00602387778854
1,84,84.00595217006948
1,85,85.00588214941364
1,86,86.00581375697809
1,87,87.00574693662483
1,88,88.0056816347672
1,89,89.00561780022652
1,90,90.00555538409837
1,91,91.00549433962765
1,92,92.00543462209176
1,93,93.00537618869137
1,94,94.00531899844816
1,95,95.00526301210897
1,96,96.00520819205592
1,97,97.0051545022222
1,98,98.00510190801293
1,99,99.00505037623081
1,100,100.00499987500625
2,2,2.8284271247461903
2,3,3.605551275463989
2,4,4.47213595499958
2,5,5.385164807134504
2,6,6.324555320336759
2,7,7.280109889280518
2,8,8.246211251235321
2,9,9.219544457292887
2,10,10.198039027185569
2,11,11.180339887498949
2,12,12.165525060596439
2,13,13.152946437965905
2,14,14.142135623730951
2,15,15.132745950421556
2,16,16.1245154965971
2,17,17.11724276862369
2,18,18.110770276274835
2,19,19.1049731745428
2,20,20.09975124224178
2,21,21.095023109728988
2,22,22.090722034374522
2,23,23.08679276123039
2,24,24.08318915758459
2,25,25.079872407968907
2,26,26.076809620810597
2,27,27.073972741361768
2,28,28.071337695236398
2,29,29.068883707497267
2,30,30.066592756745816
2,31,31.064449134018133
2,32,32.0624390837628
2,33,33.06055050963308
2,34,34.058772731852805
2,35,35.05709628591621
2,36,36.05551275463989
2,37,37.05401462729781
2,38,38.05259518088089
2,39,39.05124837953327
2,40,40.049968789001575
2,41,41.048751503547585
2,42,42.04759208325728
2,43,43.04648650006177
2,44,44.04543109109048
2,45,45.044422518220834
2,46,46.04345773288535
2,47,47.042533945356304
2,48,48.041648597857254
2,49,49.040799340956916
2,50,50.039984012787215
2,51,51.03920062069938
2,52,52.03844732503075
2,53,53.03772242470448
2,54,54.037024344425184
2,55,55.036351623268054
2,56,56.0357029044876
2,57,57.0350769263968
2,58,58.034472514187634
2,59,59.033888572581766
2,60,60.03332407921454
2,61,61.032778078668514
2,62,62.03224967708329
2,63,63.0317380372777
2,64,64.03124237432849
2,65,65.03076195155643
2,66,66.03029607687671
2,67,67.02984409947557
2,68,68.0294054067798
2,69,69.02897942168927
2,70,70.02856560004639
2,71,71.02816342831905
2,72,72.02777242147643
2,73,73.02739212103907
2,74,74.02702209328699
2,75,75.02666192761077
2,76,76.02631123499285
2,77,77.02596964660685
2,78,78.02563681252464
2,79,79.02531240052139
2,80,80.02499609497022
2,81,81.02468759581859
2,82,82.02438661763951
2,83,83.02409288875127
2,84,84.02380615040002
2,85,85.0235261559999
2,86,86.02325267042627
2,87,87.02298546935747
2,88,88.02272433866155
2,89,89.02246907382428
2,90,90.0222194794152
2,91,91.02197536858887
2,92,92.02173656261873
2,93,93.02150289046077
2,94,94.02127418834527
2,95,95.02105029939419
2,96,96.02083107326243
2,97,97.02061636580135
2,98,98.02040603874276
2,99,99.02019995940222
2,100,100.0199980003999
3,3,4.242640687119285
3,4,5.0
3,5,5.830951894845301
3,6,6.708203932499369
3,7,7.615773105863909
3,8,8.54400374531753
3,9,9.486832980505138
3,10,10.44030650891055
3,11,11.40175425099138
3,12,12.36931687685298
3,13,13.341664064126334
3,14,14.317821063276353
3,15,15.297058540778355
3,16,16.278820596099706
3,17,17.26267650163207
3,18,18.24828759089466
3,19,19.235384061671343
3,20,20.223748416156685
3,21,21.213203435596427
3,22,22.20360331117452
3,23,23.194827009486403
3,24,24.186773244895647
3,25,25.179356624028344
3,26,26.1725046566048
3,27,27.16615541441225
3,28,28.160255680657446
3,29,29.154759474226502
3,30,30.14962686336267
3,31,31.144823004794873
3,32,32.14031735997639
3,33,33.13608305156178
3,34,34.132096331752024
3,35,35.12833614050059
3,36,36.124783736376884
3,37,37.12142238654117
3,38,38.118237105091836
3,39,39.11521443121589
3,40,40.11234224026316
3,41,41.10960958218893
3,42,42.1070065428546
3,43,43.104524124504614
3,44,44.10215414239989
3,45,45.09988913511872
3,46,46.09772228646444
3,47,47.095647357266465
3,48,48.093658625644196
3,49,49.09175083453431
3,50,50.08991914547278
3,51,51.088159097779204
3,52,52.08646657242167
3,53,53.08483775994799
3,54,54.08326913195984
3,55,55.08175741568164
3,56,56.08029957123981
3,57,57.07889277132134
3,58,58.077534382926416
3,59,59.07622195096772
3,60,60.07495318350236
3,61,61.07372593840988
3,62,62.07253821135398
3,63,63.071388124885914
3,64,64.07027391856539
3,65,65.06919393998976
3,66,66.06814663663572
3,67,67.06713054842886
3,68,68.06614430096654
3,69,69.06518659932803
3,70,70.06425622241343
3,71,71.06335201775947
3,72,72.06247289678588
3,73,73.06161783043132
3,74,74.06078584514209
3,75,75.05997601918082
3,76,76.05918747922567
3,77,77.05841939723393
3,78,78.05767098754612
3,79,79.05694150420949
3,80,80.05623023850174
3,81,81.05553651663777
3,82,82.05485969764375
3,83,83.05419917138447
3,84,84.0535543567314
3,85,85.05292469985967
3,86,86.05230967266364
3,87,87.05170877128145
3,88,88.05112151472007
3,89,89.05054744357274
3,90,90.0499861188218
3,91,91.0494371207203
3,92,92.04890004774636
3,93,93.04837451562494
3,94,94.04786015641186
3,95,95.04735661763561
3,96,96.04686356149273
3,97,97.04638066409278
3,98,98.04590761474952
3,99,99.04544411531506
3,100,100.04498987955368
4,4,5.656854249492381
4,5,6.4031242374328485
4,6,7.211102550927978
4,7,8.06225774829855
4,8,8.94427190999916
4,9,9.848857801796104
4,10,10.770329614269007
4,11,11.704699910719626
4,12,12.649110640673518
4,13,13.601470508735444
4,14,14.560219778561036
4,15,15.524174696260024
4,16,16.492422502470642
4,17,17.46424919657298
4,18,18.439088914585774
4,19,19.4164878389476
4,20,20.396078054371138
4,21,21.37755832643195
4,22,22.360679774997898
4,23,23.345235059857504
4,24,24.331050121192877
4,25,25.317977802344327
4,26,26.30589287593181
4,27,27.294688127912362
4,28,28.284271247461902
4,29,29.274562336608895
4,30,30.265491900843113
4,31,31.25699921617557
4,32,32.2490309931942
4,33,33.24154027718932
4,34,34.23448553724738
4,35,35.22782990761707
4,36,36.22154055254967
4,37,37.21558813185679
4,38,38.2099463490856
4,39,39.20459156782532
4,40,40.19950248448356
4,41,41.19465984809196
4,42,42.190046219457976
4,43,43.18564576337837
4,44,44.181444068749045
4,45,45.17742799230607
4,46,46.17358552246078
4,47,47.16990566028302
4,48,48.16637831516918
4,49,49.16299421312742
4,50,50.15974481593781
4,51,51.15662224971465
4,52,52.15361924162119
4,53,53.150729063673246
4,54,54.147945482723536
4,55,55.14526271584895
4,56,56.142675390472796
4,57,57.14017850864661
4,58,58.137767414994535
4,59,59.135437767890075
4,60,60.13318551349163
4,61,61.1310068623117
4,62,62.12889826803627
4,63,63.12685640834652
4,64,64.1248781675256
4,65,65.12296062065974
4,66,66.12110101926616
4,67,67.11929677819934
4,68,68.11754546370561
4,69,69.1158447825099
4,70,70.11419257183242
4,71,71.11258679024411
4,72,72.11102550927978
4,73,73.10950690573696
4,74,74.10802925459562
4,75,75.1065909225016
4,76,76.10519036176179
4,77,77.10382610480494
4,78,78.10249675906654
4,79,79.1012010022604
4,80,80.09993757800315
4,81,81.09870529176159
4,82,82.09750300709517
4,83,83.09632964216891
4,84,84.09518416651456
4,85,85.09406559801923
4,86,86.09297300012354
4,87,87.09190547921202
4,88,88.09086218218096
4,89,89.08984229416954
4,90,90.08884503644167
4,91,91.08786966440702
4,92,92.0869154657707
4,93,93.08598175880189
4,94,94.08506789071261
4,95,95.08417323613851
4,96,96.08329719571451
4,97,97.082439194738
4,98,98.08159868191383
4,99,99.08077512817509
4,100,100.07996802557443
5,5,7.0710678118654755
5,6,7.810249675906654
5,7,8.602325267042627
5,8,9.433981132056603
5,9,10.295630140987
5,10,11.180339887498949
5,11,12.083045973594572
5,12,13.0
5,13,13.92838827718412
5,14,14.866068747318506
5,15,15.811388300841896
5,16,16.76305461424021
5,17,17.72004514666935
5,18,18.681541692269406
5,19,19.6468827043885
5,20,20.615528128088304
5,21,21.587033144922902
5,22,22.561028345356956
5,23,23.53720459187964
5,24,24.515301344262525
5,25,25.495097567963924
5,26,26.476404589747453
5,27,27.459060435491963
5,28,28.442925306655784
5,29,29.427877939124322
5,30,30.4138126514911
5,31,31.400636936215164
5,32,32.38826948140329
5,33,33.37663853655727
5,34,34.36568055487916
5,35,35.35533905932738
5,36,36.345563690772494
5,37,37.33630940518894
5,38,38.3275357934736
5,39,39.319206502675
5,40,40.311288741492746
5,41,41.30375285612676
5,42,42.2965719651132
5,43,43.289721643826724
5,44,44.28317965096906
5,45,45.27692569068709
5,46,46.2709412050371
5,47,47.265209192385896
5,48,48.25971404805462
5,49,49.25444142409901
5,50,50.24937810560445
5,51,51.24451190127583
5,52,52.23983154643591
5,53,53.23532661682466
5,54,54.230987451824994
5,55,55.226805085936306
5,56,56.22277118748239
5,57,57.21887800367987
5,58,58.215118311311535
5,59,59.21148537234985
5,60,60.207972893961475
5,61,61.204574992397426
5,62,62.20128616033595
5,63,63.198101237299845
5,64,64.19501538281614
5,65,65.19202405202648
5,66,66.18912297349165
5,67,67.1863081289633
5,68,68.18357573492314
5,69,69.18092222571191
5,70,70.178344238091
5,71,71.17583859709698
5,72,72.17340230306452
5,73,73.17103251970687
5,74,74.16872656315464
5,75,75.16648189186454
5,76,76.16429609731846
5,77,77.1621668954417
5,78,78.16009211867653
5,79,79.1580697086532
5,80,80.15609770940699
5,81,81.15417426109393
5,82,82.15229759416349
5,83,83.15046602394962
5,84,84.1486779456457
5,85,85.14693182963201
5,86,86.14522621712709
5,87,87.14355971613737
5,88,88.14193099768123
5,89,89.1403387922662
5,90,90.13878188659973
5,91,91.13725912051558
5,92,92.13576938409967
5,93,93.13431161500041
5,94,94.13288479590966
5,95,95.13148795220224
5,96,96.13012014972206
5,97,97.12878049270464
5,98,98.12746812182611
5,99,99.12618221237011
5,100,100.12492197250393
6,6,8.48528137423857
6,7,9.219544457292887
6,8,10.0
6,9,10.816653826391969
6,10,11.661903789690601
6,11,12.529964086141668
6,12,13.416407864998739
6,13,14.317821063276353
6,14,15.231546211727817
6,15,16.15549442140351
6,16,17.08800749063506
6,17,18.027756377319946
6,18,18.973665961010276
6,19,19.924858845171276
6,20,20.8806130178211
6,21,21.840329667841555
6,22,22.80350850198276
6,23,23.769728648009426
6,24,24.73863375370596
6,25,25.709920264364882
6,26,26.68332812825267
6,27,27.65863337187866
6,28,28.635642126552707
6,29,29.614185789921695
6,30,30.59411708155671
6,31,31.575306807693888
6,32,32.55764119219941
6,33,33.54101966249684
6,34,34.52535300326414
6,35,35.510561809129406
6,36,36.49657518178932
6,37,37.48332962798263
6,38,38.47076812334269
6,39,39.45883931389772
6,40,40.44749683231337
6,41,41.43669871020132
6,42,42.42640687119285
6,43,43.41658669218482
6,44,44.40720662234904
6,45,45.39823785126467
6,46,46.389654018972806
6,47,47.38143096192854
6,48,48.373546489791295
6,49,49.36598018878993
6,50,50.35871324805669
6,51,51.35172830587107
6,52,52.3450093132096
6,53,53.33854141237835
6,54,54.3323108288245
6,55,55.326304774492215
6,56,56.32051136131489
6,57,57.3149195236284
6,58,58.309518948453004
6,59,59.30430001273095
6,60,60.29925372672534
6,61,61.29437168288782
6,62,62.289646009589745
6,63,63.28506932918696
6,64,64.28063471995279
6,65,65.27633568147036
6,66,66.27216610312357
6,67,67.26812023536856
6,68,68.26419266350405
6,69,69.26037828369117
6,70,70.25667228100119
6,71,71.25307010929424
6,72,72.24956747275377
6,73,73.24616030891995
6,74,74.24284477308234
6,75,75.23961722390672
6,76,76.23647421018367
6,77,77.23341245859851
6,78,78.23042886243178
6,79,79.22752047110903
6,80,80.22468448052632
6,81,81.2219182240853
6,82,82.21921916437786
6,83,83.21658488546619
6,84,84.2140130857092
6,85,85.21150157109074
6,86,86.20904824900923
6,87,87.20665112249179
6,88,88.20430828479978
6,89,89.20201791439474
6,90,90.19977827023745
6,91,91.19758768739445
6,92,92.19544457292888
6,93,93.1933474020544
6,94,94.19129471453293
6,95,95.1892851112981
6,96,96.18731725128839
6,97,97.18538984847466
6,98,98.18350166906862
6,99,99.18165152889924
6,100,100.17983829094555
7,7,9.899494936611665
7,8,10.63014581273465
7,9,11.40175425099138
7,10,12.206555615733702
7,11,13.038404810405298
7,12,13.892443989449804
7,13,14.7648230602334
7,14,15.652475842498529
7,15,16.55294535724685
7,16,17.46424919657298
7,17,18.384776310850235
7,18,19.313207915827967
7,19,20.248456731316587
7,20,21.18962010041709
7,21,22.135943621178654
7,22,23.08679276123039
7,23,24.041630560342615
7,24,25.0
7,25,25.96150997149434
7,26,26.92582403567252
7,27,27.892651361962706
7,28,28.861739379323623
7,29,29.832867780352597
7,30,30.805843601498726
7,31,31.78049716414141
7,32,32.7566787083184
7,33,33.734255586866
7,34,34.713109915419565
7,35,35.6931365951495
7,36,36.6742416417845
7,37,37.656340767525464
7,38,38.63935817272331
7,39,39.6232255123179
7,40,40.607881008493905
7,41,41.593268686170845
7,42,42.579337712087536
7,43,43.56604182158393
7,44,44.553338819890925
7,45,45.5411901469428
7,46,46.52956049652737
7,47,47.51841748206689
7,48,48.507731342539614
7,49,49.49747468305833
7,50,50.48762224545735
7,51,51.478150704935004
7,52,52.46903848937962
7,53,53.46026561849464
7,54,54.45181356024793
7,55,55.44366510251645
7,56,56.43580423808985
7,57,57.42821606144492
7,58,58.42088667591412
7,59,59.413803110051795
7,60,60.40695324215582
7,61,61.40032573203501
7,62,62.39390995922599
7,63,63.387695966961914
7,64,64.38167441127949
7,65,65.37583651472461
7,66,66.37017402418047
7,67,67.36467917239716
7,68,68.3593446428504
7,69,69.35416353759881
7,70,70.34912934784623
7,71,71.34423592694787
7,72,72.3394774656273
7,73,73.33484846919642
7,74,74.33034373659252
7,75,75.32595834106593
7,76,76.32168761236873
7,77,77.31752712031083
7,78,78.31347265956222
7,79,79.30952023559341
7,80,80.30566605165541
7,81,81.30190649671138
7,82,82.29823813423954
7,83,83.2946576918352
7,84,84.29116205154607
7,85,85.28774824088158
7,86,86.28441342444185
7,87,87.28115489611719
7,88,88.2779700718135
7,89,89.27485648266257
7,90,90.27181176868004
7,91,91.26883367283708
7,92,92.26592003551474
7,93,93.26306878931231
7,94,94.26027795418386
7,95,95.25754563287887
7,96,96.25487000666512
7,97,97.25224933131366
7,98,98.2496819333274
7,99,99.24716620639605
7,100,100.24470060806208
8,8,11.313708498984761
8,9,12.041594578792296
8,10,12.806248474865697
8,11,13.601470508735444
8,12,14.422205101855956
8,13,15.264337522473747
8,14,16.1245154965971
8,15,17.0
8,16,17.88854381999832
8,17,18.788294228055936
8,18,19.697715603592208
8,19,20.615528128088304
8,20,21.540659228538015
8,21,22.47220505424423
8,22,23.40939982143925
8,23,24.351591323771842
8,24,25.298221281347036
8,25,26.248809496813376
8,26,27.202941017470888
8,27,28.160255680657446
8,28,29.120439557122072
8,29,30.083217912982647
8,30,31.04834939252005
8,31,32.01562118716424
8,32,32.984845004941285
8,33,33.95585369269929
8,34,34.92849839314596
8,35,35.90264614203248
8,36,36.87817782917155
8,37,37.8549864614954
8,38,38.8329756778952
8,39,39.81205847478876
8,40,40.792156108742276
8,41,41.773197148410844
8,42,42.7551166528639
8,43,43.73785545725808
8,44,44.721359549995796
8,45,45.70557952810576
8,46,46.69047011971501
8,47,47.67598976424087
8,48,48.662100242385755
8,49,49.64876634922564
8,50,50.635955604688654
8,51,51.62363799656123
8,52,52.61178575186362
8,53,53.600373133029585
8,54,54.589376255824725
8,55,55.57877292636101
8,56,56.568542494923804
8,57,57.55866572463264
8,58,58.54912467321779
8,59,59.53990258641679
8,60,60.530983801686226
8,61,61.5223536610881
8,62,62.51399843235114
8,63,63.50590523722971
8,64,64.4980619863884
8,65,65.49045732013177
8,66,66.48308055437865
8,67,67.47592163134935
8,68,68.46897107449476
8,69,69.46221994724903
8,70,70.45565981523414
8,71,71.449282711585
8,72,72.44308110509934
8,73,73.43704787094863
8,74,74.43117626371358
8,75,75.4254598925323
8,76,76.4198926981712
8,77,77.41446893184762
8,78,78.40918313565064
8,79,79.40403012442127
8,80,80.39900496896712
8,81,81.39410298049853
8,82,82.38931969618392
8,83,83.38465086573187
8,84,84.38009243891595
8,85,85.37564055396598
8,86,86.37129152675674
8,87,87.36704184073076
8,88,88.36288813749809
8,89,89.35882720806042
8,90,90.35485598461214
8,91,91.35097153287424
8,92,92.34717104492157
8,93,93.34345183246653
8,94,94.33981132056604
8,95,95.33624704172071
8,96,96.33275663033837
8,97,97.32933781753577
8,98,98.32598842625484
8,99,99.32270636667126
8,100,100.31948963187563
9,9,12.727922061357855
9,10,13.45362404707371
9,11,14.212670403551895
9,12,15.0
9,13,15.811388300841896
9,14,16.64331697709324
9,15,17.4928556845359
9,16,18.35755975068582
9,17,19.235384061671343
9,18,20.12461179749811
9,19,21.02379604162864
9,20,21.93171219946131
9,21,22.847319317591726
9,22,23.769728648009426
9,23,24.698178070456937
9,24,25.632011235952593
9,25,26.570660511172846
9,26,27.51363298439521
9,27,28.460498941515414
9,28,29.410882339705484
9,29,30.364452901377952
9,30,31.32091952673165
9,31,32.28002478313795
9,32,33.24154027718932
9,33,34.20526275297414
9,34,35.17101079013795
9,35,36.138621999185304
9,36,37.107950630558946
9,37,38.07886552931954
9,38,39.05124837953327
9,39,40.024992192379
9,40,41.0
9,41,41.97618372363071
9,42,42.95346318982906
9,43,43.93176527297759
9,44,44.91102314577124
9,45,45.89117562233506
9,46,46.87216658103186
9,47,47.853944456021594
9,48,48.83646178829912
9,49,49.8196748283246
9,50,50.80354318352215
9,51,51.78802950489621
9,52,52.773099207835045
9,53,53.75872022286245
9,54,54.74486277268398
9,55,55.731499172371095
9,56,56.71860364994893
9,57,57.706152185014034
9,58,58.69412236331676
9,59,59.682493245507096
9,60,60.67124524847005
9,61,61.66036003787198
9,62,62.64982043070834
9,63,63.63961030678928
9,64,64.6297145282261
9,65,65.62011886609167
9,66,66.61080993352356
9,67,67.60177512462228
9,68,68.59300255857006
9,69,69.58448102845921
9,70,70.57619995437555
9,71,71.56814934033156
9,72,72.56031973468694
9,73,73.55270219373317
9,74,74.54528824815154
9,75,75.53806987208503
9,76,76.53103945458993
9,77,77.52418977325722
9,78,78.5175139698144
9,79,79.51100552753688
9,80,80.50465825031493
9,81,81.49846624323675
9,82,82.49242389456137
9,83,83.48652585896721
9,84,84.48076704197234
9,85,85.47514258543241
9,86,86.46964785403026
9,87,87.46427842267951
9,88,88.45903006477066
9,89,89.45389874119518
9,90,90.44888059008801
9,91,91.44397191723465
9,92,92.43916918709297
9,93,93.43446901438462
9,94,94.42986815621421
9,95,95.42536350467836
9,96,96.42095207992918
9,97,97.41663102366043
9,98,98.41239759298622
9,99,99.40824915468535
9,100,100.40418317978589
10,10,14.142135623730951
10,11,14.866068747318506
10,12,15.620499351813308
10,13,16.401219466856727
10,14,17.204650534085253
10,15,18.027756377319946
10,16,18.867962264113206
10,17,19.72308292331602
10,18,20.591260281974
10,19,21.470910553583888
10,20,22.360679774997898
10,21,23.259406699226016
10,22,24.166091947189145
10,23,25.079872407968907
10,24,26.0
10,25,26.92582403567252
10,26,27.85677655436824
10,27,28.792360097775937
10,28,29.732137494637012
10,29,30.675723300355934
10,30,31.622776601683793
10,31,32.57299494980466
10,32,33.52610922848042
10,33,34.48187929913333
10,34,35.4400902933387
10,35,36.40054944640259
10,36,37.36308338453881
10,37,38.3275357934736
10,38,39.293765408777
10,39,40.26164427839479
10,40,41.23105625617661
10,41,42.20189569201838
10,42,43.174066289845804
10,43,44.14748010928823
10,44,45.12205669071391
10,45,46.09772228646444
10,46,47.07440918375928
10,47,48.05205510693585
10,48,49.03060268852505
10,49,50.00999900019995
10,50,50.99019513592785
10,51,51.97114584074513
10,52,52.952809179494906
10,53,53.9351462406472
10,54,54.91812087098393
10,55,55.90169943749474
10,56,56.88585061331157
10,57,57.87054518492115
10,58,58.855755878248644
10,59,59.841457201508724
10,60,60.8276253029822
10,61,61.814237842102365
10,62,62.80127387243033
10,63,63.788713735268246
10,64,64.77653896280658
10,65,65.76473218982953
10,66,66.75327707311455
10,67,67.7421582177598
10,68,68.73136110975832
10,69,69.72087205421343
10,70,70.71067811865476
10,71,71.7007670809734
10,72,72.69112738154499
10,73,73.68174807915459
10,74,74.67261881037788
10,75,75.66372975210778
10,76,76.6550715869472
10,77,77.64663547121665
10,78,78.63841300535
10,79,79.63039620647382
10,80,80.62257748298549
10,81,81.61494961096282
10,82,82.60750571225353
10,83,83.60023923410746
10,84,84.5931439302264
10,85,85.58621384311844
10,86,86.57944328765345
10,87,87.5728268357257
10,88,88.56635930193812
10,89,89.56003573022959
10,90,90.55385138137417
10,91,91.54780172128658
10,92,92.5418824100742
10,93,93.53608929178085
10,94,94.53041838477179
10,95,95.524865872714
10,96,96.51942809610924
10,97,97.51410154434076
10,98,98.50888284819801
10,99,99.50376877284599
10,100,100.4987562112089
11,11,15.556349186104045
11,12,16.278820596099706
11,13,17.029386365926403
11,14,17.804493814764857
11,15,18.601075237738275
11,16,19.4164878389476
11,17,20.248456731316587
11,18,21.095023109728988
11,19,21.95449840010015
11,20,22.825424421026653
11,21,23.706539182259394
11,22,24.596747752497688
11,23,25.495097567963924
11,24,26.40075756488817
11,25,27.313000567495326
11,26,28.231188426986208
11,27,29.154759474226502
11,28,30.083217912982647
11,29,31.016124838541646
11,30,31.953090617340916
11,31,32.89376840679705
11,32,33.83784863137726
11,33,34.785054261852174
11,34,35.73513677041127
11,35,36.68787265568828
